"id","id_cliente","id_tipo_pqrs","fecha","contenido"
"1","12","1","2024-01-15","Solicito información sobre el nuevo catálogo de productos de la temporada."
"2","27","2","2024-01-17","Me quejo del mal servicio recibido en la tienda, el personal fue muy descortés."
"3","34","3","2024-02-10","Realicé una compra y el producto llegó dañado, solicito un reembolso."
"4","45","1","2024-02-20","Pido ayuda para saber cómo cambiar la talla de un vestido que compré."
"5","3","2","2024-02-25","Tengo una queja porque la calidad de la tela del último pedido no es la misma que antes."
"6","59","4","2024-03-01","Quiero solicitar el envío urgente de un pedido que no ha llegado."
"7","16","1","2024-03-05","Necesito información sobre el proceso de devolución de productos."
"8","23","3","2024-03-10","Hice un reclamo porque no se me ofrecieron las condiciones de descuento al momento de pagar."
"9","41","2","2024-03-15","Me quejo de que la atención al cliente no responde mis correos."
"10","77","1","2024-03-20","Solicito una modificación en mi pedido por error en la talla seleccionada."
"11","48","3","2024-03-25","He recibido un producto incorrecto, pido una solución inmediata."
"12","91","4","2024-04-01","Solicito un catálogo actualizado de los nuevos productos de la tienda."
"13","53","2","2024-04-05","Tengo una queja sobre un producto que no coincide con la descripción en la web."
"14","11","1","2024-04-10","Pido una consulta para conocer más sobre el tipo de tela que utilizan."
"15","30","3","2024-04-15","Hice un reclamo porque la prenda se deshizo después del primer lavado."
"16","85","4","2024-04-20","Solicito información sobre el programa de fidelización para clientes."
"17","19","2","2024-04-25","Me quejo de que no hay atención telefónica en horas de oficina."
"18","66","1","2024-05-01","Solicito un cambio en el método de entrega de mi pedido actual."
"19","29","3","2024-05-05","Recibí un artículo equivocado y solicito un cambio por el correcto."
"20","78","4","2024-05-10","Quiero recibir un descuento por ser cliente frecuente."
"21","54","2","2024-05-15","Tengo una queja sobre el retraso en el envío de mi pedido."
"22","14","1","2024-05-20","Pido asistencia para rastrear un pedido que no ha llegado."
"23","63","3","2024-05-25","Reclamo la falta de respuesta a un correo que envié hace una semana."
"24","72","4","2024-06-01","Solicito la activación de un cupón de descuento que no ha funcionado."
"25","36","1","2024-06-05","Pido información sobre las tallas y medidas de las prendas en venta."
"26","46","2","2024-06-10","Me quejo de que el personal no fue atento durante mi visita a la tienda."
"27","87","3","2024-06-15","He realizado un pedido y aún no he recibido confirmación del mismo."
"28","25","1","2024-06-20","Solicito detalles sobre la política de devoluciones."
"29","65","4","2024-06-25","Quiero solicitar información sobre el proceso para ser revendedor."
"30","82","2","2024-07-01","Tengo una queja sobre la calidad de la ropa que compré, no coincide con lo anunciado."
"31","33","1","2024-07-05","Pido asesoría sobre los métodos de pago aceptados."
"32","90","3","2024-07-10","Realicé un reclamo porque el pedido llegó incompleto."
"33","44","4","2024-07-15","Quiero recibir información sobre promociones especiales para el próximo mes."
"34","22","1","2024-07-20","Solicito asistencia para la creación de una cuenta en la tienda online."
"35","61","2","2024-07-25","Me quejo de que el sitio web está caído y no puedo realizar compras."
"36","75","3","2024-08-01","Hice un reclamo sobre un cobro erróneo en mi tarjeta de crédito."
"37","10","4","2024-08-05","Solicito más información sobre el uso de los cupones de descuento."
"38","15","1","2024-08-10","Pido información sobre los diferentes métodos de entrega disponibles."
"39","69","2","2024-08-15","Tengo una queja sobre un vestido que se rompió después de un lavado."
"40","58","3","2024-08-20","Realicé un reclamo por una chaqueta que no me queda bien."
"41","3","4","2024-08-25","Quisiera saber si hay un programa de puntos para canjear en compras futuras."
"42","45","1","2024-09-01","Solicito detalles sobre el proceso de personalización de prendas."
"43","33","2","2024-09-05","Me quejo de que no he recibido una respuesta a mi queja anterior."
"44","99","3","2024-09-10","He hecho un reclamo por la falta de información sobre mi pedido."
"45","19","4","2024-09-15","Solicito un descuento para mi próxima compra por ser cliente frecuente."
"46","53","1","2024-09-20","Pido más información sobre las prendas en oferta."
"47","24","2","2024-09-25","Me quejo de que la ropa llegó sucia."
"48","70","3","2024-10-01","Realicé un reclamo sobre el tamaño de la ropa, no coincide con la talla que pedí."
"49","11","4","2024-10-05","Solicito el reembolso por un pedido que no se recibió."
"50","16","1","2024-10-10","Pido ayuda para seleccionar las tallas correctas para un pedido grupal."
"51","87","2","2024-10-15","Me quejo de que el sistema de pago en línea no funciona."
"52","39","3","2024-10-20","Hice un reclamo por el envío tardío de mi pedido."
"53","60","4","2024-10-25","Solicito una asesoría para un evento donde deseo comprar varias prendas."
"54","42","1","2024-11-01","Pido información sobre la disponibilidad de productos en tienda."
"55","88","2","2024-11-05","Me quejo de que el material de una prenda no es de buena calidad."
"56","77","3","2024-11-10","Realicé un reclamo porque el producto no se ajusta a la descripción."
"57","30","4","2024-11-15","Solicito detalles sobre la oferta de fin de año."
