"id","id_proceso","id_resultado","fecha_hora_inicio","fecha_hora_fin","anotaciones"
"1","1","1","2024-11-01 08:00:00","2024-11-01 12:00:00","Diseño completado sin problemas. Diseño final aprobado por el equipo."
"2","1","3","2024-11-01 08:00:00","2024-11-01 11:30:00","Falta de coordinación entre diseñadores resultó en un concepto equivocado. El diseño fue rechazado y se tuvo que reiniciar el proceso."
"3","1","2","2024-11-02 08:00:00","2024-11-02 12:30:00","Diseño aprobado parcialmente. Se solicitaron algunos ajustes en el estilo para la colección de verano."
"4","1","1","2024-11-03 09:00:00","2024-11-03 13:00:00","Diseño ajustado conforme a los comentarios. Aprobación final exitosa."
"5","1","3","2024-11-04 08:00:00","2024-11-04 11:45:00","Errores de comunicación entre el departamento de diseño y la dirección de la marca causaron un retraso de 1 día en la finalización del diseño."
"6","1","1","2024-11-05 08:30:00","2024-11-05 12:00:00","Diseño completado a tiempo y sin inconvenientes. Aprobación final recibida."
"7","1","2","2024-11-06 08:00:00","2024-11-06 12:00:00","El diseño inicial no cumplió con los estándares de calidad. Se requirió una revisión exhaustiva."
"8","1","1","2024-11-07 09:00:00","2024-11-07 13:00:00","Diseño completamente optimizado y aprobado por el cliente final."
"9","1","3","2024-11-08 09:00:00","2024-11-08 12:00:00","Problemas con la elección de colores, lo que llevó a la cancelación del diseño original. Se realizó un nuevo diseño."
"10","1","2","2024-11-09 09:30:00","2024-11-09 12:30:00","Se ajustaron algunos detalles menores, pero el diseño general fue bien recibido."
"11","2","1","2024-11-10 08:00:00","2024-11-10 10:00:00","Materiales seleccionados conforme a los estándares de calidad y presupuesto."
"12","2","3","2024-11-10 09:00:00","2024-11-10 11:30:00","Se seleccionaron materiales incorrectos que no se ajustaban a las especificaciones. El proceso de selección tuvo que reiniciarse."
"13","2","1","2024-11-11 08:30:00","2024-11-11 10:30:00","Elección de materiales finalizada y aprobada por el equipo de producción."
"14","2","2","2024-11-12 08:00:00","2024-11-12 09:30:00","Problemas con la disponibilidad de telas. Algunas fueron sustituidas por materiales de menor calidad."
"15","2","1","2024-11-13 09:00:00","2024-11-13 10:30:00","Materiales adecuados seleccionados y con todo en orden."
"16","2","3","2024-11-14 08:00:00","2024-11-14 10:00:00","Error en la compra de materiales. Se compraron telas incorrectas, lo que causó un retraso en la producción."
"17","2","1","2024-11-15 08:30:00","2024-11-15 10:30:00","Elección de materiales y colores acorde con la colección. Aprobación total."
"18","2","2","2024-11-16 08:00:00","2024-11-16 09:30:00","Falta de control en la calidad de las telas. Algunos materiales fueron devueltos por defectos visibles."
"19","3","1","2024-11-17 08:00:00","2024-11-17 12:00:00","Corte realizado de acuerdo a las especificaciones, sin problemas."
"20","3","2","2024-11-17 08:30:00","2024-11-17 11:30:00","Hubo un error en las medidas del patrón, lo que causó un exceso de desperdicio de tela."
"21","3","1","2024-11-18 08:00:00","2024-11-18 12:00:00","Corte de tela ejecutado correctamente, sin imprevistos."
"22","3","3","2024-11-19 08:30:00","2024-11-19 11:00:00","Errores de precisión en el corte de las piezas. Se tuvo que deshacer el trabajo realizado en 3 paneles."
"23","3","1","2024-11-20 08:00:00","2024-11-20 11:30:00","El corte de tela se realizó sin inconvenientes. Todo el material está dentro de los parámetros de calidad."
"24","3","2","2024-11-21 08:30:00","2024-11-21 11:00:00","Hubo dificultades con las máquinas de corte. Se presentaron paradas no programadas, causando retrasos."
"25","3","1","2024-11-22 09:00:00","2024-11-22 12:00:00","Corte de tela realizado con precisión y calidad. Sin errores durante el proceso."
"26","3","3","2024-11-23 09:00:00","2024-11-23 11:30:00","Corte defectuoso en algunas piezas. El patrón fue incorrecto, causando ajustes posteriores."
"27","4","2","2024-11-24 08:00:00","2024-11-24 12:00:00","Problemas con la máquina de costura que generaron puntos débiles en las costuras. Fue necesario repararla."
"28","4","1","2024-11-25 08:30:00","2024-11-25 12:00:00","Costura realizada de acuerdo a lo planeado, sin inconvenientes."
"29","4","3","2024-11-26 08:00:00","2024-11-26 12:30:00","La tela fue demasiado fina y causó rasgaduras durante el proceso de costura. Esto afectó la calidad del producto."
