"id_cliente","id_pregunta","contenido"
"1","3","Siempre recomendaría sus productos, son de gran calidad."
"3","1","La calidad de sus productos es excelente, siempre me siento satisfecho con mis compras."
"5","1","Estoy muy satisfecho con la calidad de los productos, siempre cumplen mis expectativas."
"5","14","Deberían mejorar el tiempo de espera, especialmente durante las horas pico."
"6","9","Me gustaría ver más vestidos de verano, son mis favoritos."
"7","5","El servicio al cliente fue muy bueno, atendieron mis dudas rápidamente."
"8","3","Definitivamente recomendaría sus productos a mis amigos y familiares."
"9","2","La experiencia fue bastante buena, el ambiente de la tienda es agradable."
"9","7","La calidad es el factor más importante para mí al elegir ropa."
"10","2","Mi experiencia de compra fue excepcional, el personal fue muy amable y servicial."
"10","5","El servicio fue muy bueno, me sentí atendido en todo momento."
"10","13","Sí, el personal fue muy amable y me ayudó en todo momento."
"11","6","Prefiero ropa casual, es más cómoda y versátil para mi día a día."
"12","1","La calidad ha sido buena, aunque algunas prendas se sienten más baratas que otras."
"13","8","Compro ropa nueva al menos una vez al mes, me gusta renovar mi armario."
"14","1","Algunas prendas son de buena calidad, pero otras no han cumplido con mis expectativas."
"14","10","Sigo a varias influencers en Instagram, siempre tienen buenas recomendaciones."
"15","4","Me gustaría ver más opciones de tallas para productos populares."
"15","12","Encontré lo que buscaba sin problemas, todo estaba bien organizado."
"17","5","El servicio al cliente es aceptable, aunque podría ser más proactivo."
"18","2","La experiencia de compra fue rápida y sin complicaciones."
"18","11","La atención al cliente fue excelente, me ayudaron rápidamente."
"19","3","Recomiendo sus productos, pero creo que deben mejorar en la variedad."
"20","1","La calidad es excelente, pero me gustaría ver más opciones de materiales sostenibles."
"20","4","Me encantaría ver más colaboraciones con diseñadores emergentes."
"21","4","Sería genial si ofrecieran descuentos para clientes frecuentes."
"22","2","Tuve una experiencia regular, no encontré lo que buscaba fácilmente."
"23","3","Sí, pero creo que podrían diversificar más su oferta de productos."
"24","12","Fue fácil encontrar productos, las señales eran claras."
"26","9","Quiero ver más ropa de abrigo, especialmente en invierno."
"27","1","Siempre he tenido buenas experiencias con la calidad, especialmente con la ropa de invierno."
"27","10","Admiro el estilo de algunas celebridades, siempre me inspiran."
"28","8","Normalmente compro ropa cada dos meses, depende de las temporadas."
"29","6","Me encanta la ropa formal, la uso frecuentemente para el trabajo."
"29","13","Recibí asistencia adecuada, aunque me gustaría que fueran más proactivos."
"30","5","El servicio al cliente fue excelente, me ayudaron a resolver mi problema rápidamente."
"30","7","Busco precios accesibles, especialmente en ropa básica."
"30","14","El tiempo de espera fue razonable, aunque a veces es frustrante."
"31","1","Me gustaría que mejoraran la calidad de las prendas más económicas."
"32","11","La atención fue buena, pero había que esperar un poco para ser atendido."
"33","5","Me siento muy satisfecho con la atención, el personal es muy atento."
"33","13","El personal estaba disponible, pero no sabía responder todas mis preguntas."
"34","2","La experiencia fue buena, pero el proceso de pago fue un poco lento."
"35","8","Soy bastante impulsivo, a veces compro sin planearlo."
"37","12","Aunque tenía que buscar un poco, finalmente encontré lo que quería."
