"id","id_cliente","id_publicacion","contenido","me_gusta"
"1","2","1","Me encanta la nueva colección de invierno, los abrigos son preciosos.","20"
"2","14","1","Los precios son un poco altos, pero la calidad es excelente.","5"
"3","22","1","¡No puedo esperar a comprar un abrigo nuevo! Necesito uno para el frío.","15"
"4","45","1","Me gustaría que incluyeran más colores en los abrigos.","2"
"5","77","1","La colección está increíble, pero ¿tendrán tallas grandes?","18"
"6","3","2","Totalmente de acuerdo, la calidad es impresionante. ¡Sigan así!","25"
"7","19","2","Yo tuve una mala experiencia con una chaqueta que compré.","3"
"8","35","2","¡Me encanta esta tienda! Mis amigos siempre me preguntan dónde compré.","12"
"9","68","2","No me convenció el diseño de la última colección.","1"
"10","98","2","Siempre salgo feliz de comprar aquí, la atención es excelente.","22"
"11","1","3","¡Gran promoción! Definitivamente me registraré para el descuento.","30"
"12","20","3","Siempre tengo problemas para registrarme. ¿Alguien más tuvo inconvenientes?","4"
"13","44","3","¡Gracias por el descuento! Justo necesito renovar mi armario.","28"
"14","66","3","¿Por qué solo para la primera compra? Me gustaría más ofertas.","6"
"15","85","3","Ya estoy en la lista, no puedo esperar a comprar algo nuevo.","20"
"16","8","4","Me encanta ver cómo combinan las prendas, ¡es inspirador!","18"
"17","32","4","No me gustan esos estilos, preferiría algo más clásico.","0"
"18","53","4","¡Esa camiseta es exactamente lo que buscaba! Gracias por compartir.","25"
"19","75","4","Podrían mostrar más looks para hombres también.","2"
"20","102","4","¡Qué bonita combinación! Definitivamente probaré algo similar.","15"
"21","5","5","Me encanta su compromiso con el medio ambiente. ¡Sigan así!","30"
"22","15","5","No sabía que usaban materiales sostenibles, eso me hace querer comprar más.","28"
"23","38","5","¡Que gran información! Estoy seguro de que la gente lo apreciará.","22"
"24","61","5","Eso suena genial, pero espero que no suban los precios.","3"
"25","99","5","Me alegra ver que están tomando iniciativas ecológicas.","26"
"26","11","6","¡Estoy listo para el fin de semana! Las sugerencias son muy útiles.","20"
"27","27","6","Esa falda es hermosa, pero ¿tendrán una blusa que combine?","15"
"28","39","6","Los outfits propuestos son muy bonitos, pero no creo que todos sean cómodos.","5"
"29","54","6","Me encanta la idea de outfit del día, ¡gracias por compartir!","19"
"30","70","6","¿Cuándo lanzan la ropa de verano? Ya la necesito.","10"
"31","13","7","¡Amo la ropa de playa! Perfecta para mis vacaciones.","27"
"32","25","7","No me gusta nada la ropa de playa que tienen, debería ser más colorida.","2"
"33","37","7","La calidad de los bikinis es increíble, estoy impresionada.","20"
"34","50","7","No tengo tiempo de ir a la tienda, ¿pueden enviar por correo?","3"
"35","82","7","Definitivamente quiero comprar algo de su línea de verano.","15"
"36","4","8","¡Qué bien que están organizando esto! Me encanta participar.","30"
"37","16","8","Es una gran oportunidad para los clientes. ¡Gracias!","28"
"38","35","8","¿El concurso es solo en Instagram? Espero que sea en todas las redes.","4"
