"id_cliente","id_producto","fecha","calificacion","contenido"
"2","1","2024-01-10","5","Es el vestido perfecto para el verano. Muy ligero."
"2","4","2024-01-10","5","Increíble chaqueta, me mantiene abrigada todo el tiempo."
"3","1","2024-01-10","5","¡Me encanta este vestido de verano! Es ligero y perfecto para los días calurosos."
"4","1","2024-01-10","5","Un vestido de verano precioso, muy fresco y cómodo."
"4","5","2024-01-10","4","La falda es muy bonita, aunque el material es un poco delgado."
"5","2","2024-01-10","4","La camisa casual es cómoda y versátil. Ideal para el día a día."
"5","3","2024-01-10","5","Pantalones cómodos y elegantes, muy satisfecho."
"5","4","2024-01-10","5","Chaqueta increíble, muy abrigadora."
"6","2","2024-01-10","4","Buena camisa, aunque el tejido podría ser más suave."
"6","4","2024-01-10","5","La chaqueta es muy cálida, ideal para invierno."
"6","6","2024-01-10","5","La blusa de seda es increíble, se siente muy suave."
"7","1","2024-01-10","5","Este vestido de verano es simplemente perfecto."
"7","5","2024-01-10","4","La falda corta es muy linda y se ajusta bien."
"7","6","2024-01-10","5","La blusa es espectacular, se siente increíble."
"8","2","2024-01-10","4","Buena camisa, pero se arruga con facilidad."
"8","3","2024-01-10","5","Estos pantalones son súper cómodos y se ajustan muy bien."
"9","6","2024-01-10","5","La blusa es hermosa, me encanta el diseño."
"10","1","2024-01-10","4","Un vestido hermoso, aunque el envío tardó mucho."
"10","3","2024-01-10","5","Pantalones cómodos y elegantes, me encantan."
"10","5","2024-01-10","4","La falda es muy bonita y cómoda, me gusta."
"10","6","2024-01-10","5","La blusa es elegante y me queda perfectamente."
"11","4","2024-01-10","5","¡La chaqueta es increíble! Muy abrigadora."
"11","6","2024-01-10","5","La blusa de seda es espectacular, se siente lujosa."
"12","3","2024-01-10","5","Los pantalones son muy cómodos, perfectos para el trabajo."
"12","4","2024-01-10","5","La chaqueta de invierno es abrigadora y muy estilosa."
"13","3","2024-01-10","5","Me encanta este pantalón, se ajusta a la perfección."
"13","5","2024-01-10","4","La falda es bonita y fresca, perfecta para el verano."
"14","1","2024-01-12","4","El vestido es hermoso, pero la talla es un poco ajustada."
"14","5","2024-01-10","4","La falda es linda, aunque el material es un poco delgado."
"15","2","2024-01-10","4","La camisa es genial, aunque no es tan resistente como pensaba."
"16","2","2024-01-10","4","La camisa es cómoda, pero me gustaría que tuviera un corte más moderno."
"17","4","2024-01-12","4","Buena chaqueta, aunque un poco pesada para el clima."
"18","1","2024-01-12","4","El diseño es bonito, pero la talla es un poco pequeña."
"18","2","2024-01-12","5","Me encanta esta camisa, el tejido es suave y se siente genial."
"18","6","2024-01-12","4","El diseño es hermoso, pero el precio es un poco alto."
"19","1","2024-01-12","4","El color es precioso, pero la talla es un poco justa."
"20","6","2024-01-12","4","Me gusta mucho, aunque es un poco cara."
"21","4","2024-01-12","4","Buena calidad, aunque un poco pesada."
"22","2","2024-01-12","5","Me encanta esta camisa, muy cómoda y versátil."
"22","4","2024-01-12","4","Buena calidad, aunque es un poco pesada."
"22","5","2024-01-12","5","¡Me encanta! Perfecta para el verano."
"23","3","2024-01-12","4","Los pantalones son de buena calidad, pero un poco largos para mí."
"24","3","2024-01-12","4","Buenos pantalones, aunque el corte no es perfecto."
"25","1","2024-01-15","3","El diseño es bonito, pero el material podría ser mejor."
"25","5","2024-01-12","5","Me encanta, es perfecta para el verano."
"25","6","2024-01-12","4","Me gusta el diseño, pero el precio es un poco alto."
"26","1","2024-01-12","4","El diseño es bonito, pero el color no me favorece."
"26","5","2024-01-12","5","Me encanta, es perfecta para salir."
"27","1","2024-01-15","3","El color es hermoso, pero el material es mejorable."
"27","6","2024-01-12","4","Muy buena calidad, aunque un poco cara."
"28","1","2024-01-12","5","Perfecto para el verano, muy cómodo."
"28","3","2024-01-12","4","Bonito diseño, pero un poco ajustado en la cintura."
